id,question,ground_truth,difficulty_level,question_type,topic
82,What are the comparative environmental regulations and enforcement practices for tourism activities in marine protected areas across different countries?,"Environmental regulations for marine protected areas vary significantly. Australia's Great Barrier Reef has comprehensive zoning and strict enforcement. Galápagos implements stringent visitor limits and mandatory guides. Raja Ampat demonstrates community-based management. Caribbean and Mediterranean MPAs face enforcement challenges. Best practices include science-based zoning, stakeholder participation, clear restrictions, mandatory briefings, capacity limits, permit systems funding enforcement, and regular monitoring.",hard,comparative,safety
83,"How do currency controls, black markets, and official exchange rates create complex financial situations for travelers in countries with economic instability?","Currency controls and black markets create complex situations in economically unstable countries. Control mechanisms include conversion limits, restrictions on foreign currency holdings, and mandatory government exchange. Parallel markets emerge when official rates are artificial and foreign currency is scarce. Rate disparities can be dramatic. Risks include illegality, counterfeit currency, robbery, and scams. Strategies include researching current situation, bringing hard currencies, using recommended exchangers, counting carefully, and prioritizing safety over rates.",hard,factual,local_features
84,What are the technological solutions for debugging Python code?,This question is not related to tourism or travel.,off-topic,factual,technology
85,How do I make sourdough bread from scratch?,This question is not related to tourism or travel.,off-topic,procedural,cooking
86,What are the rules of cricket?,This question is not related to tourism or travel.,off-topic,factual,sports
87,How does blockchain technology work?,This question is not related to tourism or travel.,off-topic,factual,technology
88,What is the difference between stocks and bonds?,This question is not related to tourism or travel.,off-topic,comparative,finance
89,How can I improve my credit score?,This question is not related to tourism or travel.,off-topic,procedural,finance
90,What are the health benefits of meditation?,This question is not related to tourism or travel.,off-topic,factual,health
91,How do I train for a marathon?,This question is not related to tourism or travel.,off-topic,procedural,sports
92,What is the process of photosynthesis?,This question is not related to tourism or travel.,off-topic,factual,science
93,How do electric vehicles compare to hybrid vehicles?,This question is not related to tourism or travel.,off-topic,comparative,technology
94,What are the symptoms of diabetes?,This question is not related to tourism or travel.,off-topic,factual,health
95,How can I negotiate a salary increase?,This question is not related to tourism or travel.,off-topic,procedural,career
96,What are the main principles of Keynesian economics?,This question is not related to tourism or travel.,off-topic,factual,economics
97,How do I start a podcast?,This question is not related to tourism or travel.,off-topic,procedural,media
98,What is machine learning?,This question is not related to tourism or travel.,off-topic,factual,technology
99,How can I improve my public speaking skills?,This question is not related to tourism or travel.,off-topic,procedural,personal_development
100,What programming language is best for beginners?,This question is not related to tourism or travel.,off-topic,factual,technology
